  No.,Time,Snd/Rcv,Dest,Src,Priority,PGN,Data
19735,78.124,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19736,78.128,Receive,0,242,6,59904,E6 FF 00 
19737,78.131,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19738,78.135,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19739,78.142,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19740,78.145,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19741,78.153,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19742,78.155,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19743,78.164,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19744,78.165,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19745,78.166,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19746,78.175,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19747,78.176,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19748,78.178,Receive,255,242,6,59904,E6 FF 00 
19749,78.185,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19750,78.187,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19751,78.195,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19752,78.198,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19753,78.205,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19754,78.209,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19755,78.216,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19756,78.219,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19757,78.22,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19758,78.226,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19759,78.229,Receive,0,242,6,59904,E7 FF 00 
19760,78.231,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19761,78.236,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19762,78.242,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19763,78.246,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19764,78.253,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19765,78.256,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19766,78.264,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19767,78.265,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19768,78.266,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19769,78.275,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19770,78.276,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19771,78.28,Receive,255,242,6,59904,E7 FF 00 
19772,78.286,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19773,78.287,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19774,78.296,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19775,78.298,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19776,78.307,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19777,78.309,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19778,78.316,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19779,78.317,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19780,78.32,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19781,78.327,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19782,78.331,Receive,0,242,6,59904,EA FF 00 
19783,78.331,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19784,78.337,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19785,78.342,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19786,78.347,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19787,78.353,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19788,78.357,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19789,78.359,Receive,17,30,5,61184,86 01 7F 01 FF FF FC FF 
19790,78.364,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19791,78.365,Receive,255,81,6,61454,8C 0F 47 F4 05 3F FF FF 
19792,78.367,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19793,78.375,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19794,78.377,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19795,78.382,Receive,255,242,6,59904,EA FF 00 
19796,78.387,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19797,78.388,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19798,78.398,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19799,78.398,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19800,78.408,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19801,78.409,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19802,78.41,Receive,17,30,5,61184,86 02 7F 01 FF FF FC FF 
19803,78.415,Receive,255,81,6,61454,8C 0F 47 F4 05 3F FF FF 
19804,78.418,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19805,78.42,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19806,78.428,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19807,78.431,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19808,78.433,Receive,0,242,6,59904,E5 FE 00 
19809,78.438,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19810,78.442,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19811,78.454,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19812,78.455,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19813,78.464,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19814,78.465,Receive,17,30,5,61184,86 03 7F 01 FF FF FC FF 
19815,78.466,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19816,78.467,Receive,255,81,6,61454,8C 0F 47 F4 05 3F FF FF 
19817,78.468,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19818,78.475,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19819,78.478,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19820,78.484,Receive,255,242,6,59904,E5 FE 00 
19821,78.489,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19822,78.489,Receive,255,0,6,65247,FF FF FF FF FF FF FF F5 
19823,78.49,Receive,255,242,6,61184,45 01 
19824,78.491,Receive,255,242,6,61184,4C 39 03 
19825,78.492,Receive,255,242,6,61184,4F DD 13 
19826,78.493,Receive,255,242,6,61184,4E A0 0F 
19827,78.493,Receive,255,242,6,61184,6E A0 0F 
19828,78.495,Receive,255,242,6,61184,64 6B 02 
19829,78.496,Receive,255,242,6,61184,53 03 00 
19830,78.497,Receive,255,242,6,61184,41 00 00 04 00 00 00 00 
19831,78.498,Receive,255,242,6,61184,46 00 00 00 00 00 00 00 
19832,78.499,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19833,78.5,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19834,78.501,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19835,78.509,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19836,78.511,Receive,17,30,5,61184,86 04 7F 01 FF FF FC FF 
19837,78.512,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19838,78.516,Receive,255,81,6,61454,8C 0F 47 F4 05 3F FF FF 
19839,78.519,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19840,78.522,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19841,78.529,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19842,78.533,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19843,78.535,Receive,0,242,6,59904,0B F5 01 
19844,78.539,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19845,78.544,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19846,78.549,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19847,78.555,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19848,78.559,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19849,78.561,Receive,17,30,5,61184,86 05 7F 01 FF FF FC FF 
19850,78.566,Receive,255,81,6,61454,8C 0F 47 F4 05 3F FF FF 
19851,78.567,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19852,78.57,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19853,78.577,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19854,78.58,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19855,78.587,Receive,255,242,6,59904,0B F5 01 
19856,78.588,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19857,78.59,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19858,78.599,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19859,78.6,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19860,78.61,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19861,78.611,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19862,78.612,Receive,17,30,5,61184,86 06 7F 01 FF FF FC FF 
19863,78.62,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19864,78.621,Receive,255,81,6,61454,8C 0F 47 F4 55 1F FF FF 
19865,78.621,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19866,78.63,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19867,78.632,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19868,78.638,Receive,0,242,6,59904,07 FD 01 
19869,78.64,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19870,78.643,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19871,78.65,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19872,78.654,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19873,78.661,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
