No.,Time,Snd/Rc,Dest,Src,Priority,PGN,NOx Raw,O2 Raw,Status,Heater,Error NOx,Error O2
261,4.589,Receive,255,0,6,65247,65535,65535,255,255,255,5
262,4.589,Receive,255,0,6,65247,65535,65535,255,255,255,5
263,4.601,Receive,255,81,6,61454,3994,62597,85,159,31,255
264,4.601,Receive,255,81,6,61454,3994,62597,85,159,31,255
265,4.609,Receive,255,0,6,65247,65535,65535,255,255,255,5
266,4.609,Receive,255,0,6,65247,65535,65535,255,255,255,5
267,4.624,Receive,255,82,6,61455,3968,62808,85,159,31,255
268,4.624,Receive,255,82,6,61455,3968,62808,85,159,31,255
269,4.629,Receive,255,0,6,65247,65535,65535,255,255,255,5
270,4.629,Receive,255,0,6,65247,65535,65535,255,255,255,5
271,4.649,Receive,255,0,6,65247,65535,65535,255,255,255,5
272,4.649,Receive,255,0,6,65247,65535,65535,255,255,255,5
273,4.651,Receive,255,81,6,61454,3994,62597,85,159,31,255
274,4.651,Receive,255,81,6,61454,3994,62597,85,159,31,255
275,4.669,Receive,255,0,6,65247,65535,65535,255,255,255,5
276,4.669,Receive,255,0,6,65247,65535,65535,255,255,255,5
277,4.674,Receive,255,82,6,61455,3968,62808,85,159,31,255
278,4.674,Receive,255,82,6,61455,3968,62808,85,159,31,255
279,4.689,Receive,255,0,6,65247,65535,65535,255,255,255,5
280,4.689,Receive,255,0,6,65247,65535,65535,255,255,255,5
281,4.701,Receive,255,81,6,61454,3984,62602,85,159,31,255
282,4.701,Receive,255,81,6,61454,3984,62602,85,159,31,255
283,4.709,Receive,255,0,6,65247,65535,65535,255,255,255,5
284,4.709,Receive,255,0,6,65247,65535,65535,255,255,255,5
285,4.724,Receive,255,82,6,61455,3968,62808,85,159,31,255
286,4.724,Receive,255,82,6,61455,3968,62808,85,159,31,255
287,4.729,Receive,255,0,6,65247,65535,65535,255,255,255,5
288,4.729,Receive,255,0,6,65247,65535,65535,255,255,255,5
289,4.749,Receive,255,0,6,65247,65535,65535,255,255,255,5
290,4.749,Receive,255,0,6,65247,65535,65535,255,255,255,5
291,4.751,Receive,255,81,6,61454,3984,62602,85,159,31,255
292,4.751,Receive,255,81,6,61454,3984,62602,85,159,31,255
293,4.769,Receive,255,0,6,65247,65535,65535,255,255,255,5
294,4.769,Receive,255,0,6,65247,65535,65535,255,255,255,5
295,4.774,Receive,255,82,6,61455,3976,62812,85,159,31,255
296,4.774,Receive,255,82,6,61455,3976,62812,85,159,31,255
297,4.789,Receive,255,0,6,65247,65535,65535,255,255,255,5
298,4.789,Receive,255,0,6,65247,65535,65535,255,255,255,5
299,4.801,Receive,255,81,6,61454,3984,62602,85,159,31,255
300,4.801,Receive,255,81,6,61454,3984,62602,85,159,31,255
301,4.809,Receive,255,0,6,65247,65535,65535,255,255,255,5
302,4.809,Receive,255,0,6,65247,65535,65535,255,255,255,5
303,4.824,Receive,255,82,6,61455,3976,62812,85,159,31,255
304,4.824,Receive,255,82,6,61455,3976,62812,85,159,31,255
305,4.829,Receive,255,0,6,65247,65535,65535,255,255,255,5
306,4.829,Receive,255,0,6,65247,65535,65535,255,255,255,5
307,4.849,Receive,255,0,6,65247,65535,65535,255,255,255,5
308,4.849,Receive,255,0,6,65247,65535,65535,255,255,255,5
309,4.851,Receive,255,81,6,61454,3984,62602,85,159,31,255
310,4.851,Receive,255,81,6,61454,3984,62602,85,159,31,255
311,4.869,Receive,255,0,6,65247,65535,65535,255,255,255,5
312,4.869,Receive,255,0,6,65247,65535,65535,255,255,255,5
313,4.874,Receive,255,82,6,61455,3976,62808,85,159,31,255
314,4.874,Receive,255,82,6,61455,3976,62808,85,159,31,255
315,4.889,Receive,255,0,6,65247,65535,65535,255,255,255,5
316,4.889,Receive,255,0,6,65247,65535,65535,255,255,255,5
317,4.901,Receive,255,81,6,61454,3984,62602,85,159,31,255
318,4.901,Receive,255,81,6,61454,3984,62602,85,159,31,255
319,4.909,Receive,255,0,6,65247,65535,65535,255,255,255,5
320,4.909,Receive,255,0,6,65247,65535,65535,255,255,255,5
321,4.924,Receive,255,82,6,61455,3976,62808,85,159,31,255
322,4.924,Receive,255,82,6,61455,3976,62808,85,159,31,255
323,4.929,Receive,255,0,6,65247,65535,65535,255,255,255,5
324,4.929,Receive,255,0,6,65247,65535,65535,255,255,255,5
325,4.949,Receive,255,0,6,65247,65535,65535,255,255,255,5
326,4.949,Receive,255,0,6,65247,65535,65535,255,255,255,5
327,4.951,Receive,255,81,6,61454,3984,62602,85,159,31,255
328,4.951,Receive,255,81,6,61454,3984,62602,85,159,31,255
329,4.969,Receive,255,0,6,65247,65535,65535,255,255,255,5
330,4.969,Receive,255,0,6,65247,65535,65535,255,255,255,5
331,4.974,Receive,255,82,6,61455,3976,62812,85,159,31,255
332,4.974,Receive,255,82,6,61455,3976,62812,85,159,31,255
333,4.989,Receive,255,0,6,65247,65535,65535,255,255,255,5
334,4.989,Receive,255,0,6,65247,65535,65535,255,255,255,5
335,5.001,Receive,255,81,6,61454,3984,62602,85,159,31,255
336,5.001,Receive,255,81,6,61454,3984,62602,85,159,31,255
337,5.009,Receive,255,0,6,65247,65535,65535,255,255,255,5
338,5.009,Receive,255,0,6,65247,65535,65535,255,255,255,5
339,5.024,Receive,255,82,6,61455,3976,62808,85,159,31,255
340,5.024,Receive,255,82,6,61455,3976,62808,85,159,31,255
341,5.029,Receive,255,0,6,65247,65535,65535,255,255,255,5
342,5.029,Receive,255,0,6,65247,65535,65535,255,255,255,5
343,5.049,Receive,255,0,6,65247,65535,65535,255,255,255,5
344,5.049,Receive,255,0,6,65247,65535,65535,255,255,255,5
345,5.051,Receive,255,81,6,61454,3984,62602,85,159,31,255
346,5.051,Receive,255,81,6,61454,3984,62602,85,159,31,255
347,5.069,Receive,255,0,6,65247,65535,65535,255,255,255,5
348,5.069,Receive,255,0,6,65247,65535,65535,255,255,255,5
349,5.074,Receive,255,82,6,61455,3976,62812,85,159,31,255
350,5.074,Receive,255,82,6,61455,3976,62812,85,159,31,255
351,5.089,Receive,255,0,6,65247,65535,65535,255,255,255,5
352,5.089,Receive,255,0,6,65247,65535,65535,255,255,255,5
353,5.101,Receive,255,81,6,61454,3984,62602,85,159,31,255
354,5.101,Receive,255,81,6,61454,3984,62602,85,159,31,255
355,5.109,Receive,255,0,6,65247,65535,65535,255,255,255,5
356,5.109,Receive,255,0,6,65247,65535,65535,255,255,255,5
357,5.124,Receive,255,82,6,61455,3976,62812,85,159,31,255
358,5.124,Receive,255,82,6,61455,3976,62812,85,159,31,255
359,5.129,Receive,255,0,6,65247,65535,65535,255,255,255,5
360,5.129,Receive,255,0,6,65247,65535,65535,255,255,255,5
361,5.149,Receive,255,0,6,65247,65535,65535,255,255,255,5
362,5.149,Receive,255,0,6,65247,65535,65535,255,255,255,5
363,5.151,Receive,255,81,6,61454,3984,62602,85,159,31,255
364,5.151,Receive,255,81,6,61454,3984,62602,85,159,31,255
365,5.169,Receive,255,0,6,65247,65535,65535,255,255,255,5
366,5.169,Receive,255,0,6,65247,65535,65535,255,255,255,5
367,5.174,Receive,255,82,6,61455,3976,62812,85,159,31,255
368,5.174,Receive,255,82,6,61455,3976,62812,85,159,31,255
369,5.189,Receive,255,0,6,65247,65535,65535,255,255,255,5
370,5.189,Receive,255,0,6,65247,65535,65535,255,255,255,5
371,5.201,Receive,255,81,6,61454,3984,62597,85,159,31,255
372,5.201,Receive,255,81,6,61454,3984,62597,85,159,31,255
373,5.209,Receive,255,0,6,65247,65535,65535,255,255,255,5
374,5.209,Receive,255,0,6,65247,65535,65535,255,255,255,5
375,5.224,Receive,255,82,6,61455,3976,62812,85,159,31,255
376,5.224,Receive,255,82,6,61455,3976,62812,85,159,31,255
